t_ms,median_radius_um,drdt_um_per_ms,Dataset
5.0,10.946532458125288,0.08676197335032798,FAPI
15.0,11.877253643169363,0.08057635151439649,FAPI
25.0,12.555569022050259,0.06847071969543622,FAPI
35.0,13.241355800020033,0.0560043141975533,FAPI
45.0,13.690673483000792,0.047515970095232875,FAPI
55.0,14.102408034072027,0.04336756890714586,FAPI
65.0,14.545474993712237,0.04207842906800726,FAPI
75.0,14.98860842373734,0.03872798217318619,FAPI
85.0,15.329178837415915,0.03434730262018085,FAPI
95.0,15.64238312075952,0.03372465455278345,FAPI
105.0,15.952538453900907,0.03592175993490265,FAPI
115.0,16.388728080419355,0.03778141105485687,FAPI
125.0,16.73813947385024,0.037957761843057665,FAPI
135.0,17.1236667641016,0.03645513534826842,FAPI
145.0,17.495065480802122,0.03608734193936692,FAPI
155.0,17.819110194363578,0.03564794981381223,FAPI
165.0,18.207936559950276,0.03706736135784556,FAPI
175.0,18.54967267378218,0.040383008665715835,FAPI
185.0,18.988544682854254,0.04195011921662133,FAPI
195.0,19.46148259140255,0.04126558958462905,FAPI
205.0,19.813133795327186,0.03892970044602422,FAPI
215.0,20.20101893638699,0.03890611295241738,FAPI
225.0,20.584790364631267,0.04194477181351939,FAPI
235.0,21.02419279924351,0.044914330788459904,FAPI
245.0,21.50664624128183,0.04716104123450051,FAPI
255.0,21.974022907044024,0.04704263067487139,FAPI
265.0,22.464622730900786,0.046759151917041504,FAPI
275.0,22.888774150116838,0.04804946984856422,FAPI
285.0,23.397444113231504,0.05503161593475069,FAPI
295.0,23.92416971562716,0.0639337897961345,FAPI
305.0,24.731124121475506,0.06711231384249199,FAPI
315.0,25.391121529640905,0.06334643190150237,FAPI
325.0,25.957231129767276,0.05772227532121358,FAPI
335.0,26.49884862142553,0.05734826912836125,FAPI
345.0,27.086733548963696,0.061352625787516796,FAPI
355.0,27.70251525814616,0.06743584548814952,FAPI
365.0,28.434722040297654,0.07081080254245832,FAPI
375.0,29.197010859380544,0.07036191076191228,FAPI
385.0,29.840886100276812,0.06908032209827879,FAPI
395.0,30.51806584388174,0.07001360876870559,FAPI
405.0,31.258486381693185,0.07024372650041287,FAPI
415.0,31.980227104086506,0.06910655508282938,FAPI
425.0,32.59334843009682,0.0712785184007572,FAPI
435.0,33.32959710044787,0.07585995984040235,FAPI
445.0,34.18582748937725,0.08067532217870325,FAPI
455.0,34.93934563523021,0.08465866367230296,FAPI
465.0,35.82411922603667,0.08941171836369093,FAPI
475.0,36.77082518412663,0.09157994732480183,FAPI
485.0,37.71905104230229,0.09463776511478401,FAPI
495.0,38.5392106584527,0.10446797175621152,FAPI
505.0,39.73399965859764,0.11943474307287509,FAPI
515.0,41.02395487320397,0.13054788149182553,FAPI
525.0,42.40039141192353,0.1410992207927715,FAPI
535.0,43.705691794636344,0.16466049073108477,FAPI
545.0,45.518215984731555,0.19531571206780982,FAPI
555.0,47.78575974426103,0.2274936862317015,FAPI
565.0,50.039266186367435,0.28251662387489024,FAPI
575.0,52.834262766902555,0.4569594800479296,FAPI
585.0,57.420710394583445,0.7195235611484826,FAPI
595.0,67.8218843389208,0.8947492365173237,FAPI
5.0,9.387601832721828,0.05976566760797417,FAPI-TEMPO
15.0,10.054010086277831,0.05148625368371601,FAPI-TEMPO
25.0,10.445412029928788,0.03867302922450569,FAPI-TEMPO
35.0,10.752558602981825,0.02965373653600191,FAPI-TEMPO
45.0,11.009435069488175,0.02657287917658217,FAPI-TEMPO
55.0,11.269211238878558,0.024658665005262898,FAPI-TEMPO
65.0,11.523132144626985,0.022778654697203984,FAPI-TEMPO
75.0,11.71838142815879,0.021155859239179325,FAPI-TEMPO
85.0,11.926984162040183,0.02071322321004354,FAPI-TEMPO
95.0,12.134710775816119,0.02143270893097166,FAPI-TEMPO
105.0,12.349596189572267,0.022161643760087762,FAPI-TEMPO
115.0,12.581731936485005,0.02298547356166128,FAPI-TEMPO
125.0,12.809661626976563,0.023741748552567127,FAPI-TEMPO
135.0,13.0537737521115,0.02332153142263772,FAPI-TEMPO
145.0,13.3020592870998,0.0221311394281359,FAPI-TEMPO
155.0,13.488626161720031,0.020886478315622833,FAPI-TEMPO
165.0,13.702677583056186,0.020747605692991833,FAPI-TEMPO
175.0,13.906344155092484,0.021460501177087084,FAPI-TEMPO
185.0,14.129197635306857,0.02183179657082732,FAPI-TEMPO
195.0,14.349736180094585,0.021167252278275674,FAPI-TEMPO
205.0,14.569193352303724,0.01941105848524757,FAPI-TEMPO
215.0,14.736383574792157,0.017885243910134994,FAPI-TEMPO
225.0,14.90721374972414,0.018044483060277578,FAPI-TEMPO
235.0,15.08483041728227,0.019680983782255593,FAPI-TEMPO
245.0,15.303415493430267,0.020519702814848242,FAPI-TEMPO
255.0,15.521040858021365,0.02035107754984633,FAPI-TEMPO
265.0,15.702185477875938,0.020378601131722393,FAPI-TEMPO
275.0,15.907125085827378,0.020720507918439043,FAPI-TEMPO
285.0,16.140047333527598,0.02072820904071788,FAPI-TEMPO
295.0,16.326409477476048,0.020407253981626818,FAPI-TEMPO
305.0,16.52659362867034,0.021040472070344467,FAPI-TEMPO
315.0,16.745014029582244,0.022632012981489424,FAPI-TEMPO
325.0,16.98387110564207,0.023673525704421706,FAPI-TEMPO
335.0,17.227052779393684,0.024609805492461057,FAPI-TEMPO
345.0,17.464966421124203,0.026115970256599102,FAPI-TEMPO
355.0,17.740507043647774,0.027479322091817457,FAPI-TEMPO
365.0,18.037375056783926,0.028713176578162466,FAPI-TEMPO
375.0,18.30340346924301,0.030317757711871295,FAPI-TEMPO
385.0,18.624860590218717,0.03203720914499086,FAPI-TEMPO
395.0,18.97208697292526,0.03354121835893095,FAPI-TEMPO
405.0,19.290924101801124,0.03458077904934781,FAPI-TEMPO
415.0,19.649813059196457,0.0365105689787009,FAPI-TEMPO
425.0,20.02198124690839,0.03922331136928837,FAPI-TEMPO
435.0,20.43166396654005,0.0415499790469541,FAPI-TEMPO
445.0,20.862471876614833,0.042956779375145256,FAPI-TEMPO
455.0,21.30232117230726,0.04381647956307422,FAPI-TEMPO
465.0,21.728730803649896,0.04693573305957983,FAPI-TEMPO
475.0,22.19439381328944,0.053145748479357914,FAPI-TEMPO
485.0,22.78654321920744,0.05877020420368234,FAPI-TEMPO
495.0,23.433253665511188,0.06147273670813078,FAPI-TEMPO
505.0,24.01608320364909,0.06419540902456204,FAPI-TEMPO
515.0,24.65321803133564,0.07436013171266746,FAPI-TEMPO
525.0,25.41830339485671,0.0886522800371466,FAPI-TEMPO
535.0,26.492641377063613,0.11528530738272108,FAPI-TEMPO
545.0,27.495796660149914,0.1538043303668117,FAPI-TEMPO
555.0,29.492843209005702,0.20675360894694528,FAPI-TEMPO
565.0,31.646361384923324,0.29055033189579355,FAPI-TEMPO
575.0,34.74729318910692,0.5612272485016042,FAPI-TEMPO
585.0,39.67436659379631,0.9891232927143393,FAPI-TEMPO
595.0,55.13847291022897,1.2829848088496845,FAPI-TEMPO
